ids,labels,parents,values
1970,1970,,437
hip hop1970,hip hop,1970,5
Hip Hop1970,Hip Hop,hip hop1970,1
French Hip Hop1970,French Hip Hop,hip hop1970,1
Political Hip Hop1970,Political Hip Hop,hip hop1970,1
Australian Hip Hop1970,Australian Hip Hop,hip hop1970,1
Alternative Hip Hop1970,Alternative Hip Hop,hip hop1970,1
pop rock1970,pop rock,1970,1
Pop Rock1970,Pop Rock,pop rock1970,1
rock1970,rock,1970,35
Rap Rock1970,Rap Rock,rock1970,1
Garage Rock1970,Garage Rock,rock1970,1
Deutschrock1970,Deutschrock,rock1970,1
Soft Rock1970,Soft Rock,rock1970,1
Blues Rock1970,Blues Rock,rock1970,1
Indie Rock1970,Indie Rock,rock1970,1
Pop Rock1970,Pop Rock,rock1970,1
Stoner Rock1970,Stoner Rock,rock1970,1
Gothic Rock1970,Gothic Rock,rock1970,1
Comedy Rock1970,Comedy Rock,rock1970,1
Art Rock1970,Art Rock,rock1970,1
Southern Rock1970,Southern Rock,rock1970,1
Hard Rock1970,Hard Rock,rock1970,1
Rock1970,Rock,rock1970,1
Christian Rock1970,Christian Rock,rock1970,1
Psychedelic Rock1970,Psychedelic Rock,rock1970,1
Country Rock1970,Country Rock,rock1970,1
Noise Rock1970,Noise Rock,rock1970,1
Arena Rock1970,Arena Rock,rock1970,1
Experimental Rock1970,Experimental Rock,rock1970,1
Rock 'N' Roll1970,Rock 'N' Roll,rock1970,1
Post-Rock1970,Post-Rock,rock1970,1
Punk Rock1970,Punk Rock,rock1970,1
Piano Rock1970,Piano Rock,rock1970,1
Alternative Rock1970,Alternative Rock,rock1970,1
Electronic Rock1970,Electronic Rock,rock1970,1
Samba-Rock1970,Samba-Rock,rock1970,1
Glam Rock1970,Glam Rock,rock1970,1
Rockabilly1970,Rockabilly,rock1970,1
Latin Rock1970,Latin Rock,rock1970,1
Industrial Rock1970,Industrial Rock,rock1970,1
Symphonic Rock1970,Symphonic Rock,rock1970,1
Brazilian Rock1970,Brazilian Rock,rock1970,1
Progressive Rock1970,Progressive Rock,rock1970,1
Folk Rock1970,Folk Rock,rock1970,1
metal1970,metal,1970,22
Progressive Metal1970,Progressive Metal,metal1970,1
Industrial Metal1970,Industrial Metal,metal1970,1
Symphonic Metal1970,Symphonic Metal,metal1970,1
Doom Metal1970,Doom Metal,metal1970,1
Avant-garde Metal1970,Avant-garde Metal,metal1970,1
Christian Metal1970,Christian Metal,metal1970,1
Pagan Metal1970,Pagan Metal,metal1970,1
Death Metal1970,Death Metal,metal1970,1
Glam Metal1970,Glam Metal,metal1970,1
Gothic Metal1970,Gothic Metal,metal1970,1
Alternative Metal1970,Alternative Metal,metal1970,1
Black Metal1970,Black Metal,metal1970,1
Folk Metal1970,Folk Metal,metal1970,1
Viking Metal1970,Viking Metal,metal1970,1
Power Metal1970,Power Metal,metal1970,1
Post-Metal1970,Post-Metal,metal1970,1
Heavy Metal1970,Heavy Metal,metal1970,1
Thrash Metal1970,Thrash Metal,metal1970,1
Technical Death Metal1970,Technical Death Metal,metal1970,1
Groove Metal1970,Groove Metal,metal1970,1
